"Temperature","Clay","Moisture","core","datetime","date","time","incub_days","CO2_1_ppm","CO2_2_ppm","CO2C_ug_g_hr"
20,"non-amended","50% WFPS",26,2016-09-13 11:16:00,2016-09-13,"t5",4,13150,NA,0.0721399401895083
20,"non-amended","50% WFPS",27,2016-09-13 11:17:00,2016-09-13,"t5",4,12866,NA,0.0705392892224721
20,"non-amended","50% WFPS",28,2016-09-13 11:18:00,2016-09-13,"t5",4,12860,NA,0.0704638172243587
20,"non-amended","100% WFPS",29,2016-09-13 11:19:00,2016-09-13,"t5",4,14400,NA,0.0788543241809782
20,"non-amended","100% WFPS",30,2016-09-13 11:21:00,2016-09-13,"t5",4,14650,NA,0.0801266099980516
4,"illite-amended","50% WFPS",1,2016-09-13 11:34:00,2016-09-13,"t5",4,5454,NA,0.0313077777456614
4,"illite-amended","50% WFPS",2,2016-09-13 11:35:00,2016-09-13,"t5",4,5047,NA,0.0289541450255908
4,"illite-amended","50% WFPS",3,2016-09-13 11:37:00,2016-09-13,"t5",4,5197,NA,0.0297790807260405
4,"illite-amended","50% WFPS",4,2016-09-13 11:37:00,2016-09-13,"t5",4,4946,NA,0.0283408376507593
4,"illite-amended","100% WFPS",5,2016-09-13 11:39:00,2016-09-13,"t5",4,1050,NA,0.00600937931909982
4,"illite-amended","100% WFPS",6,2016-09-13 11:40:00,2016-09-13,"t5",4,1912,NA,0.0109362722480648
4,"illite-amended","100% WFPS",7,2016-09-13 11:41:00,2016-09-13,"t5",4,1119,NA,0.00639665270324622
4,"illite-amended","100% WFPS",8,2016-09-13 11:43:00,2016-09-13,"t5",4,1202,NA,0.00686293895356661
4,"non-amended","50% WFPS",9,2016-09-13 11:44:00,2016-09-13,"t5",4,3569,NA,0.0203654465900048
4,"non-amended","50% WFPS",10,2016-09-13 11:46:00,2016-09-13,"t5",4,4745,NA,0.0270437872783219
4,"non-amended","50% WFPS",12,2016-09-13 11:49:00,2016-09-13,"t5",4,4080,NA,0.0232123153538104
4,"non-amended","100% WFPS",13,2016-09-13 11:51:00,2016-09-13,"t5",4,2996,NA,0.0170249380799677
4,"non-amended","100% WFPS",14,2016-09-13 11:52:00,2016-09-13,"t5",4,2319,NA,0.0131700500563226
4,"non-amended","100% WFPS",15,2016-09-13 11:54:00,2016-09-13,"t5",4,3558,NA,0.0201826861433682
4,"non-amended","100% WFPS",16,2016-09-13 11:55:00,2016-09-13,"t5",4,4028,NA,0.0228352560334314
4,"illite-amended","50% WFPS",1,2016-09-14 09:55:00,2016-09-14,"t6",5,5021,NA,0.0364805002718956
4,"illite-amended","50% WFPS",2,2016-09-14 09:59:00,2016-09-14,"t6",5,5022,NA,0.0363776141105128
4,"illite-amended","50% WFPS",4,2016-09-14 10:02:00,2016-09-14,"t6",5,4999,NA,0.0361292081623163
4,"illite-amended","100% WFPS",5,2016-09-14 10:03:00,2016-09-14,"t6",5,1183,NA,0.00854344730857305
4,"illite-amended","100% WFPS",6,2016-09-14 10:04:00,2016-09-14,"t6",5,2154,NA,0.0155441665022935
4,"illite-amended","100% WFPS",7,2016-09-14 10:06:00,2016-09-14,"t6",5,1255,NA,0.00904300732393368
4,"illite-amended","100% WFPS",8,2016-09-14 10:07:00,2016-09-14,"t6",5,1255,NA,0.00903622337245286
4,"non-amended","50% WFPS",9,2016-09-14 10:09:00,2016-09-14,"t6",5,4264,NA,0.0306555640875392
4,"illite-amended","50% WFPS",3,2016-09-14 10:10:00,2016-09-14,"t6",5,5410,NA,0.0388654936762799
4,"non-amended","50% WFPS",10,2016-09-14 10:10:00,2016-09-14,"t6",5,4237,NA,0.0304386500381512
4,"non-amended","50% WFPS",11,2016-09-14 10:11:00,2016-09-14,"t6",5,4187,NA,0.0300569518236364
4,"non-amended","50% WFPS",12,2016-09-14 10:12:00,2016-09-14,"t6",5,4046,NA,0.0290230564538085
4,"non-amended","100% WFPS",13,2016-09-14 10:13:00,2016-09-14,"t6",5,2738,NA,0.0196257493690679
4,"non-amended","100% WFPS",14,2016-09-14 10:15:00,2016-09-14,"t6",5,2824,NA,0.020212000305103
4,"non-amended","100% WFPS",15,2016-09-14 10:16:00,2016-09-14,"t6",5,3721,NA,0.0266121851171409
4,"non-amended","100% WFPS",16,2016-09-14 10:17:00,2016-09-14,"t6",5,4281,NA,0.0305944462324691
20,"illite-amended","50% WFPS",17,2016-09-14 12:45:00,2016-09-14,"t6",5,13480,NA,0.0820347349123926
20,"illite-amended","50% WFPS",18,2016-09-14 12:46:00,2016-09-14,"t6",5,10400,NA,0.0632484732343778
20,"illite-amended","50% WFPS",19,2016-09-14 12:48:00,2016-09-14,"t6",5,12728,NA,0.0773027776781565
20,"illite-amended","50% WFPS",20,2016-09-14 12:50:00,2016-09-14,"t6",5,14805,NA,0.0897971076834743
20,"illite-amended","100% WFPS",21,2016-09-14 12:52:00,2016-09-14,"t6",5,12333,NA,0.0747037577819257
20,"illite-amended","100% WFPS",22,2016-09-14 12:54:00,2016-09-14,"t6",5,13450,NA,0.0813610520374073
20,"illite-amended","100% WFPS",23,2016-09-14 12:56:00,2016-09-14,"t6",5,13557,NA,0.0818991121481987
20,"illite-amended","100% WFPS",24,2016-09-14 12:57:00,2016-09-14,"t6",5,13404,NA,0.0809209492917071
20,"non-amended","50% WFPS",25,2016-09-14 13:00:00,2016-09-14,"t6",5,12616,NA,0.0760120138408396
20,"non-amended","50% WFPS",26,2016-09-14 13:01:00,2016-09-14,"t6",5,13232,NA,0.0796705417266367
20,"non-amended","50% WFPS",27,2016-09-14 13:02:00,2016-09-14,"t6",5,13090,NA,0.0787632875841604
20,"non-amended","50% WFPS",28,2016-09-14 13:04:00,2016-09-14,"t6",5,11828,NA,0.0710754959623664
20,"non-amended","100% WFPS",29,2016-09-14 13:05:00,2016-09-14,"t6",5,13469,NA,0.0808828450022146
20,"non-amended","100% WFPS",30,2016-09-14 13:07:00,2016-09-14,"t6",5,15596,NA,0.093531915535648
4,"illite-amended","50% WFPS",1,2016-09-15 09:46:00,2016-09-15,"t7",6,5932,NA,0.0397864225009148
4,"illite-amended","50% WFPS",2,2016-09-15 09:47:00,2016-09-15,"t7",6,5948,NA,0.0399775462149124
4,"illite-amended","50% WFPS",3,2016-09-15 09:49:00,2016-09-15,"t7",6,6383,NA,0.0431733581402237
