"formula","HC","OC"
"C20H28O3",1.4,0.15
"C17H32O5",1.88,0.29
"C18H36O4",2,0.22
"C12H3O6N3S1",0.25,0.5
"C11H11O6N1S2",1,0.55
"C17H6O3N2P1",0.35,0.18
"C12H15O5N1S2",1.25,0.42
"C13H18O3S2P1",1.38,0.23
"C16H15O4N1S1",0.94,0.25
"C20H15O3N1",0.75,0.15
"C16H18O3N2P1",1.12,0.19
"C17H19O3N1S1",1.12,0.18
"C15H27O6N1",1.8,0.4
"C7H12O6S2P2",1.71,0.86
"C15H10O8",0.67,0.53
"C12H17O3N1S2P1",1.42,0.25
"C12H17O5N1S1P1",1.42,0.42
"C12H14O10",1.17,0.83
"C9H21O5N1S2P1",2.33,0.56
"C8H18O9N2S1",2.25,1.12
"C16H14O7",0.88,0.44
"C12H17O7N1P1",1.42,0.58
"C17H18O4S1",1.06,0.24
"C13H18O9",1.38,0.69
"C13H22O3N2S2",1.69,0.23
"C17H18O6",1.06,0.35
"C17H18O6",1.06,0.35
"C18H22O3S1",1.22,0.17
"C14H22O8",1.57,0.57
"C18H22O5",1.22,0.28
"C15H26O7",1.73,0.47
"C16H30O6",1.88,0.38
"C13H4O4S2P1",0.31,0.31
"C9H9O8N3S1",1,0.89
"C9H9O8N3S1",1,0.89
"C10H13O3N3S3",1.3,0.3
"C11H13O6N1S2",1.18,0.55
"C16H16O3S1P1",1,0.19
"C19H13O2N1S1",0.68,0.11
"C16H17O4N1S1",1.06,0.25
"C16H17O6N1",1.06,0.38
"C13H24O3N2S1P1",1.85,0.23
"C16H21O4N3",1.31,0.25
"C14H8O9",0.57,0.64
"C11H12O11",1.09,1
"C15H12O8",0.8,0.53
"C11H15O8N1P1",1.36,0.73
"C12H19O3N1S2P1",1.58,0.25
"C16H16O5S1",1,0.31
"C12H16O10",1.33,0.83
"C13H20O5S2",1.54,0.38
"C16H16O7",1,0.44
"C17H20O4S1",1.18,0.24
"C17H20O6",1.18,0.35
"C13H24O5N2S1",1.85,0.38
"C18H24O3S1",1.33,0.17
"C14H24O8",1.71,0.57
"C18H24O5",1.33,0.28
"C9H11O10N3",1.22,1.11
"C10H15O5N3S2",1.5,0.5
"C12H18O6S1P1",1.5,0.5
"C11H18O5N2S1P1",1.64,0.45
"C12H19O9N1",1.58,0.75
"C10H10O12",1,1.2
"C14H10O9",0.71,0.64
"C11H17O4N1S2P1",1.55,0.36
"C15H14O6S1",0.93,0.4
"C15H14O8",0.93,0.53
"C12H21O3N1S2P1",1.75,0.25
"C12H21O5N1S1P1",1.75,0.42
"C12H18O10",1.5,0.83
"C13H22O5S2",1.69,0.38
"C16H18O7",1.12,0.44
"C12H22O6N2S1",1.83,0.5
"C17H22O4S1",1.29,0.24
"C17H22O6",1.29,0.35
"C18H26O3S1",1.44,0.17
"C18H26O5",1.44,0.28
"C15H30O5S1",2,0.33
"C19H30O4",1.58,0.21
"C12H5O10N1",0.42,0.83
"C13H9O5N1S2",0.69,0.38
"C9H12O5N2S2P1",1.33,0.56
"C12H9O8N3",0.75,0.67
"C7H4O5N2S4",0.57,0.71
"C11H3O7N1S1P1",0.27,0.64
"C13H8O10",0.62,0.77
"C14H12O9",0.86,0.64
"C11H19O4N1S2P1",1.73,0.36
"C11H19O6N1S1P1",1.73,0.55
"C15H16O8",1.07,0.53
"C12H23O3N1S2P1",1.92,0.25
"C16H20O5S1",1.25,0.31
"C12H20O10",1.67,0.83
"C15H20O4N2S1",1.33,0.27
"C23H16O2",0.7,0.09
"C16H20O7",1.25,0.44
"C12H23O7N1P1",1.92,0.58
"C12H24O6N2S1",2,0.5
"C17H24O4S1",1.41,0.24
"C17H24O6",1.41,0.35
"C18H28O1S2",1.56,0.06
"C14H28O6S1",2,0.43
"C18H28O3S1",1.56,0.17
"C13H28O7N2",2.15,0.54
"C14H31O5N1P1",2.21,0.36
"C7H3O8N1S3",0.43,1.14
"C11H5O7N1P2",0.45,0.64
"C14H3O3N3S2",0.21,0.21
"C13H11O9N1",0.85,0.69
"C12H22O4S2P1",1.83,0.33
"C22H15O2N1",0.68,0.09
"C15H23O3N3S1",1.53,0.2
"C7H6O3N2S5",0.86,0.43
"C11H6O2N2S4",0.55,0.18
"C13H10O10",0.77,0.77
"C10H17O5N1S2P1",1.7,0.5
"C14H14O9",1,0.64
"C11H21O4N1S2P1",1.91,0.36
"C13H14O8N2",1.08,0.62
"C13H14O8N2",1.08,0.62
"C15H18O6S1",1.2,0.4
"C19H18O3S1",0.95,0.16
"C15H21O3N1S1P1",1.4,0.2
"C15H18O8",1.2,0.53
"C11H21O8N1P1",1.91,0.73
"C12H25O3N1S2P1",2.08,0.25
"C14H18O7N2",1.29,0.5
"C15H22O2N2S2",1.47,0.13
"C16H22O5S1",1.38,0.31
"C16H22O7",1.38,0.44
"C12H25O7N1P1",2.08,0.58
"C17H26O4S1",1.53,0.24
"C17H26O6",1.53,0.35
"C18H30O1S2",1.67,0.06
"C18H30O3S1",1.67,0.17
"C14H5O7N3",0.36,0.5
"C15H9O2N3S2",0.6,0.13
"C13H13O7N1S1",1,0.54
"C14H21O4N3S1",1.5,0.29
"C11H7O7N1S1P1",0.64,0.64
"C19H4O6",0.21,0.32
"C8H12O8N2S2",1.5,1
"C8H12O8N2S2",1.5,1
"C12H11O8N1P1",0.92,0.67
"C13H12O10",0.92,0.77
"C10H19O5N1S2P1",1.9,0.5
"C10H19O7N1S1P1",1.9,0.7
"C14H19O4N1S1P1",1.36,0.29
"C14H16O9",1.14,0.64
"C11H23O4N1S2P1",2.09,0.36
"C14H20O3N2S2",1.43,0.21
"C14H19O6N1P1",1.36,0.43
"C11H23O6N1S1P1",2.09,0.55
"C15H23O3N1S1P1",1.53,0.2
"C15H20O8",1.33,0.53
"C16H24O3S2",1.5,0.19
"C12H27O3N1S2P1",2.25,0.25
"C11H24O7N2S1",2.18,0.64
"C16H24O5S1",1.5,0.31
"C15H24O4N2S1",1.6,0.27
"C16H24O7",1.5,0.44
"C17H28O4S1",1.65,0.24
"C17H28O6",1.65,0.35
"C18H32O1S2",1.78,0.06
"C16H28O5N2",1.75,0.31
"C18H32O5",1.78,0.28
"C10H3O8N1S2",0.3,0.8
"C9H18O7N2S1P1",2,0.78
"C17H14O5P1",0.82,0.29
"C13H19O5N3S1",1.46,0.38
"C21H15O3N1",0.71,0.14
"C18H19O5N1",1.06,0.28
"C14H23O4N3S1",1.64,0.29
"C22H19O2N1",0.86,0.09
"C15H23O7N1",1.53,0.47
"C11H6O6S3",0.55,0.55
"C10H6O9N2S1",0.6,0.9
"C8H14O8N2S2",1.75,1
"C16H10O8",0.62,0.5
"C13H17O3N1S2P1",1.31,0.23
"C13H17O5N1S1P1",1.31,0.38
"C13H14O10",1.08,0.77
"C10H21O5N1S2P1",2.1,0.5
"C9H18O9N2S1",2,1
"C17H14O7",0.82,0.41
"C14H18O7S1",1.29,0.5
"C14H21O4N1S1P1",1.5,0.29
"C10H21O9N1P1",2.1,0.9
"C11H25O4N1S2P1",2.27,0.36
"C18H18O6",1,0.33
"C11H25O6N1S1P1",2.27,0.55
"C15H22O8",1.47,0.53
"C16H26O3S2",1.62,0.19
"C16H26O5S1",1.62,0.31
"C15H26O4N2S1",1.73,0.27
"C23H22O2",0.96,0.09
"C16H26O7",1.62,0.44
"C17H30O2S2",1.76,0.12
"C17H30O6",1.76,0.35
"C18H34O5",1.89,0.28
"C15H8O5S1P1",0.53,0.33
"C8H15O9N1P2",1.88,1.12
"C11H12O8N2P1",1.09,0.73
"C13H16O6S1P1",1.23,0.46
"C20H12O3P1",0.6,0.15
"C13H20O4N2S1P1",1.54,0.31
"C21H17O3N1",0.81,0.14
"C14H24O3N2S1P1",1.71,0.21
"C14H21O8N1",1.5,0.57
"C14H24O5N2P1",1.71,0.36
"C15H25O7N1",1.67,0.47
"C16H29O6N1",1.81,0.38
"C13H4O1N2S4",0.31,0.08
"C13H4O5N2S2",0.31,0.38
"C12H3O7N3P1",0.25,0.58
"C11H11O9N1P1",1,0.82
"C12H15O4N1S2P1",1.25,0.33
"C8H16O8N2S2",2,1
"C12H12O11",1,0.92
"C9H19O6N1S2P1",2.11,0.67
"C16H12O8",0.75,0.5
"C13H19O3N1S2P1",1.46,0.23
"C13H16O8S1",1.23,0.62
"C15H12O7N2",0.8,0.47
"C16H16O2N2S2",1,0.12
"C13H19O5N1S1P1",1.46,0.38
"C13H16O10",1.23,0.77
"C14H20O5S2",1.43,0.36
"C10H23O5N1S2P1",2.3,0.5
"C13H19O7N1P1",1.46,0.54
"C14H23O4N1S1P1",1.64,0.29
"C10H23O9N1P1",2.3,0.9
"C18H20O6",1.11,0.33
"C15H24O6S1",1.6,0.4
"C14H24O5N2S1",1.71,0.36
"C15H27O3N1S1P1",1.8,0.2
"C14H24O7N2",1.71,0.5
"C19H24O5",1.26,0.26
"C16H31O4N1P1",1.94,0.25
"C16H32O3N2S1",2,0.19
"C17H32O6",1.88,0.35
"C8H2O9N2S1P1",0.25,1.12
"C10H7O8N1S2",0.7,0.8
"C14H6O6S1P1",0.43,0.43
"C13H3O10N1",0.23,0.77
"C11H10O8S1P1",0.91,0.73
"C9H19O6N1S3",2.11,0.67
"C13H18O4S2P1",1.38,0.31
"C14H23O8N1",1.64,0.57
"C15H27O7N1",1.8,0.47
"C9H5O9N1S1P1",0.56,1
"C13H4O7P2",0.31,0.54
"C19H10O4S1",0.53,0.21
"C15H10O9",0.67,0.6
"C16H14O4S2",0.88,0.25
"C12H17O4N1S2P1",1.42,0.33
"C18H10O3N2S1",0.56,0.17
"C8H18O8N2S2",2.25,1
"C12H17O6N1S1P1",1.42,0.5
"C12H14O11",1.17,0.92
"C16H14O8",0.88,0.5
"C13H21O5N1S1P1",1.62,0.38
"C9H21O10N1P1",2.33,1.11
"C13H21O7N1P1",1.62,0.54
"C13H22O6N2S1",1.69,0.46
"C18H22O4S1",1.22,0.22
"C13H22O8N2",1.69,0.62
"C14H25O6N1P1",1.79,0.43
"C19H26O3S1",1.37,0.16
"C15H29O5N1P1",1.93,0.33
"C16H30O7",1.88,0.44
"C20H30O4",1.5,0.2
"C16H34O3N2S1",2.12,0.19
"C17H4O4S1P1",0.24,0.24
"C13H4O9P1",0.31,0.69
"C13H4O9P1",0.31,0.69
"C10H13O10N3",1.3,1
"C16H17O5N1S1",1.06,0.31
"C20H16O3P1",0.8,0.15
"C12H20O7N2P1",1.67,0.58
"C13H21O9N1",1.62,0.69
"C13H24O6N2P1",1.85,0.46
"C16H21O5N3",1.31,0.31
"C9H4O4S5",0.44,0.44
"C11H12O4S4",1.09,0.36
"C15H12O5S2",0.8,0.33
"C15H12O9",0.8,0.6
"C16H16O4S2",1,0.25
"C12H19O4N1S2P1",1.58,0.33
"C12H19O6N1S1P1",1.58,0.5
"C12H16O11",1.33,0.92
"C18H12O5N2",0.67,0.28
"C12H19O8N1P1",1.58,0.67
"C13H23O3N1S2P1",1.77,0.23
"C17H20O5S1",1.18,0.29
"C17H20O7",1.18,0.41
"C18H24O2S2",1.33,0.11
"C13H24O6N2S1",1.85,0.46
"C18H24O4S1",1.33,0.22
"C14H27O6N1P1",1.93,0.43
"C19H28O1S2",1.47,0.05
"C14H28O5N2S1",2,0.36
"C19H28O3S1",1.47,0.16
"C15H31O5N1P1",2.07,0.33
"C8H7O6N3S3",0.88,0.75
"C13H7O4N1S3",0.54,0.31
"C9H7O9N1S2",0.78,1
"C14H10O6S1P1",0.71,0.43
"C9H11O7N3S2",1.22,0.78
"C9H10O10N2P1",1.11,1.11
"C12H22O5N2S1P1",1.83,0.42
"C8H6O9N2S2",0.75,1.12
"C10H10O7S3",1,0.7
"C14H10O10",0.71,0.71
"C15H14O5S2",0.93,0.33
"C11H17O5N1S2P1",1.55,0.45
"C11H17O9N1P1",1.55,0.82
"C16H18O4S2",1.12,0.25
"C12H21O4N1S2P1",1.75,0.33
"C16H18O6S1",1.12,0.38
"C17H22O1S3",1.29,0.06
"C14H26O1S4",1.86,0.07
"C11H18O10N2",1.64,0.91
"C11H18O10N2",1.64,0.91
"C12H21O8N1P1",1.75,0.67
"C17H22O3S2",1.29,0.18
"C13H25O3N1S2P1",1.92,0.23
"C12H22O7N2S1",1.83,0.58
"C13H25O5N1S1P1",1.92,0.38
"C13H25O7N1P1",1.92,0.54
"C14H26O7S1",1.86,0.5
"C18H26O4S1",1.44,0.22
"C14H29O6N1P1",2.07,0.43
"C14H30O5N2S1",2.14,0.36
"C19H30O3S1",1.58,0.16
"C15H33O5N1P1",2.2,0.33
"C13H8O9P1",0.62,0.69
"C16H8O3N2S1P1",0.5,0.19
"C13H9O8N1S1",0.69,0.62
"C10H13O10N1S1",1.3,1
"C11H20O8N2P1",1.82,0.73
"C13H25O9N1",1.92,0.69
"C16H25O3N3S1",1.56,0.19
"C20H25O2N3",1.25,0.1
"C17H29O2N3S1",1.71,0.12
"C17H29O2N3S1",1.71,0.12
"C12H4O4S4",0.33,0.33
"C13H11O8N1P1",0.85,0.62
"C18H12O5S1",0.67,0.28
"C14H12O10",0.86,0.71
"C15H16O5S2",1.07,0.33
"C11H19O5N1S2P1",1.73,0.45
"C19H16O4S1",0.84,0.21
"C11H19O9N1P1",1.73,0.82
"C16H20O4S2",1.25,0.25
"C15H19O6N1P1",1.27,0.4
"C12H23O6N1S1P1",1.92,0.5
"C14H28O1S4",2,0.07
"C16H23O3N1S1P1",1.44,0.19
"C12H23O8N1P1",1.92,0.67
"C17H24O3S2",1.41,0.18
"C13H27O3N1S2P1",2.08,0.23
"C13H27O5N1S1P1",2.08,0.38
"C24H20O2",0.83,0.08
"C13H27O7N1P1",2.08,0.54
"C18H28O2S2",1.56,0.11
"C18H28O4S1",1.56,0.22
"C14H31O6N1P1",2.21,0.43
"C19H32O3S1",1.68,0.16
"C8H6O9S2P1",0.75,1.12
"C14H15O7N1S1",1.07,0.5
"C14H19O5N3S1",1.36,0.36
"C10H2O6N2S3",0.2,0.6
"C11H6O1N2S5",0.55,0.09
"C8H8O7S2P2",1,0.88
"C10H5O5N3S2P1",0.5,0.5
"C10H5O5N3S2P1",0.5,0.5
"C13H10O11",0.77,0.85
"C14H14O6S2",1,0.43
"C13H13O8N1P1",1,0.62
"C14H17O5N1S1P1",1.21,0.36
"C10H17O10N1P1",1.7,1
"C15H18O5S2",1.2,0.33
"C11H21O7N1S1P1",1.91,0.64
"C15H21O4N1S1P1",1.4,0.27
"C11H21O9N1P1",1.91,0.82
"C16H22O4S2",1.38,0.25
"C12H25O4N1S2P1",2.08,0.33
"C15H21O6N1P1",1.4,0.4
"C12H25O6N1S1P1",2.08,0.5
"C17H26O1S3",1.53,0.06
"C12H22O11",1.83,0.92
"C15H22O5N2S1",1.47,0.33
"C16H25O3N1S1P1",1.56,0.19
"C16H22O8",1.38,0.5
"C17H26O3S2",1.53,0.18
"C13H29O3N1S2P1",2.23,0.23
"C17H26O5S1",1.53,0.29
"C13H29O7N1P1",2.23,0.54
"C18H30O2S2",1.67,0.11
"C18H30O4S1",1.67,0.22
"C19H34O1S2",1.79,0.05
"C21H30O2N2",1.43,0.1
"C14H5O6N3S1",0.36,0.43
"C18H4O4N2P1",0.22,0.22
"C14H21O5N3S1",1.5,0.36
"C22H17O3N1",0.77,0.14
"C11H24O8N2P1",2.18,0.73
"C16H25O3N1S2",1.56,0.19
"C12H28O7N2P1",2.33,0.58
"C7H6O8S2P2",0.86,1.14
"C10H4O4N2S4",0.4,0.4
"C12H11O9N1P1",0.92,0.75
"C14H16O6S2",1.14,0.43
"C10H19O6N1S2P1",1.9,0.6
"C13H15O8N1P1",1.15,0.62
"C14H19O5N1S1P1",1.36,0.36
"C10H19O10N1P1",1.9,1
"C15H20O5S2",1.33,0.33
"C11H23O5N1S2P1",2.09,0.45
"C25H12O2",0.48,0.08
"C14H19O7N1P1",1.36,0.5
"C15H20O7S1",1.33,0.47
"C11H23O7N1S1P1",2.09,0.64
"C11H24O6N2S2",2.18,0.55
"C15H23O4N1S1P1",1.53,0.27
"C11H23O9N1P1",2.09,0.82
"C16H24O4S2",1.5,0.25
"C12H27O4N1S2P1",2.25,0.33
"C23H20O1S1",0.87,0.04
"C15H23O6N1P1",1.53,0.4
"C16H24O6S1",1.5,0.38
"C11H24O10N2",2.18,0.91
"C20H24O3S1",1.2,0.15
"C16H24O8",1.5,0.5
"C17H28O3S2",1.65,0.18
"C17H28O5S1",1.65,0.29
"C16H28O4N2S1",1.75,0.25
"C17H28O7",1.65,0.41
"C18H32O2S2",1.78,0.11
"C18H32O6",1.78,0.33
"C19H36O1S2",1.89,0.05
"C13H3O9N3",0.23,0.69
"C9H18O8N2S1P1",2,0.89
"C13H17O6N1P2",1.31,0.46
"C13H19O6N3S1",1.46,0.46
"C21H15O4N1",0.71,0.19
"C14H23O5N3S1",1.64,0.36
"C22H19O3N1",0.86,0.14
"C15H26O3N2S1P1",1.73,0.2
"C16H27O3N1S2",1.69,0.19
"C8H10O9S3",1.25,1.12
"C10H6O12N2",0.6,1.2
"C16H10O9",0.62,0.56
"C17H14O4S2",0.82,0.24
"C13H17O4N1S2P1",1.31,0.31
"C18H18O1S3",1,0.06
"C14H18O6S2",1.29,0.43
"C15H22O1S4",1.47,0.07
"C24H10O3",0.42,0.12
"C13H17O8N1P1",1.31,0.62
"C14H21O5N1S1P1",1.5,0.36
"C14H18O10",1.29,0.71
"C10H21O10N1P1",2.1,1
"C15H22O5S2",1.47,0.33
"C11H25O5N1S2P1",2.27,0.45
"C22H18O2S1",0.82,0.09
"C14H21O7N1P1",1.5,0.5
"C15H25O4N1S1P1",1.67,0.27
"C11H25O9N1P1",2.27,0.82
"C16H26O4S2",1.62,0.25
"C15H25O6N1P1",1.67,0.4
"C18H22O5N2",1.22,0.28
"C15H26O5N2S1",1.73,0.33
"C16H29O3N1S1P1",1.81,0.19
"C17H30O3S2",1.76,0.18
"C15H26O7N2",1.73,0.47
"C20H26O5",1.3,0.25
"C17H33O4N1P1",1.94,0.24
"C10H7O7N1S1P2",0.7,0.7
"C10H20O9S1P1",2,0.9
"C13H20O5N2S1P1",1.54,0.38
"C13H21O6N3S1",1.62,0.46
"C21H17O4N1",0.81,0.19
"C14H4O1S5",0.29,0.07
"C14H4O1S5",0.29,0.07
"C11H8O5S4",0.73,0.45
"C17H4O3N2S2",0.24,0.18
"C15H8O10",0.53,0.67
"C16H12O5S2",0.75,0.31
"C12H12O12",1,1
"C13H16O7S2",1.23,0.54
"C12H15O9N1P1",1.25,0.75
"C17H16O4S2",0.94,0.24
"C9H20O8N2S2",2.22,0.89
"C18H20O1S3",1.11,0.06
"C9H20O10N2S1",2.22,1.11
"C13H19O8N1P1",1.46,0.62
"C14H23O5N1S1P1",1.64,0.36
"C10H23O10N1P1",2.3,1
"C14H24O4N2S2",1.71,0.29
"C14H23O7N1P1",1.64,0.5
"C19H24O2S2",1.26,0.11
"C15H24O7S1",1.6,0.47
"C16H28O2S3",1.75,0.12
"C14H24O6N2S1",1.71,0.43
"C15H27O4N1S1P1",1.8,0.27
"C14H24O8N2",1.71,0.57
"C15H27O6N1P1",1.8,0.4
"C20H28O1S2",1.4,0.05
"C16H31O3N1S1P1",1.94,0.19
"C16H31O5N1P1",1.94,0.31
"C16H32O4N2S1",2,0.25
"C17H32O7",1.88,0.41
"C17H35O4N1P1",2.06,0.24
"C13H3O7N1S2",0.23,0.54
"C14H7O2N1S4",0.5,0.14
"C15H10O4S2P1",0.67,0.27
"C20H15O1N1S2",0.75,0.05
"C8H19O8N3S2",2.38,1
"C12H18O6N2S1P1",1.5,0.5
"C11H15O10N3",1.36,0.91
"C13H19O8N1S1",1.46,0.62
"C13H22O5N2S1P1",1.69,0.38
"C14H26O6N2P1",1.86,0.43
"C8H2O4N2S5",0.25,0.5
"C10H6O2S6",0.6,0.2
"C10H6O4S5",0.6,0.4
"C8H4O8N2S1P2",0.5,1
"C9H6O7N2S3",0.67,0.78
"C13H6O8N2S1",0.46,0.62
"C17H5O6N1P1",0.29,0.35
"C22H6O1S2",0.27,0.05
"C15H10O10",0.67,0.67
"C16H14O5S2",0.88,0.31
"C12H17O5N1S2P1",1.42,0.42
"C12H17O9N1P1",1.42,0.75
"C13H21O6N1S1P1",1.62,0.46
"C18H22O1S3",1.22,0.06
"C13H18O11",1.38,0.85
"C13H21O8N1P1",1.62,0.62
"C14H25O3N1S2P1",1.79,0.21
"C15H26O3S3",1.73,0.2
"C14H25O5N1S1P1",1.79,0.36
"C14H25O7N1P1",1.79,0.5
"C15H26O7S1",1.73,0.47
"C16H30O2S3",1.88,0.12
"C14H26O6N2S1",1.86,0.43
"C15H29O4N1S1P1",1.93,0.27
"C19H26O6",1.37,0.32
"C20H30O1S2",1.5,0.05
"C15H30O5N2S1",2,0.33
"C16H33O3N1S1P1",2.06,0.19
"C16H33O5N1P1",2.06,0.31
"C16H34O4N2S1",2.12,0.25
"C24H30O2",1.25,0.08
"C21H34O4",1.62,0.19
"C17H37O4N1P1",2.18,0.24
"C12H3O8N1P2",0.25,0.67
"C12H5O4N3S3",0.42,0.33
"C8H5O9N3S2",0.62,1.12
"C18H9O1N1S3",0.5,0.06
"C21H9O3N3",0.43,0.14
"C8H4O2N2S6",0.5,0.25
"C15H12O6S2",0.8,0.4
"C15H12O10",0.8,0.67
"C16H16O5S2",1,0.31
"C12H19O7N1S1P1",1.58,0.58
"C16H19O4N1S1P1",1.19,0.25
"C12H19O9N1P1",1.58,0.75
"C17H20O4S2",1.18,0.24
"C13H23O4N1S2P1",1.77,0.31
"C14H24O4S3",1.71,0.29
"C24H16O1S1",0.67,0.04
"C17H20O6S1",1.18,0.35
"C13H23O6N1S1P1",1.77,0.46
"C18H24O1S3",1.33,0.06
"C12H20O10N2",1.67,0.83
"C13H24O5N2S2",1.85,0.38
"C21H20O3S1",0.95,0.14
"C13H23O8N1P1",1.77,0.62
"C18H24O3S2",1.33,0.17
"C15H28O3S3",1.87,0.2
"C13H24O7N2S1",1.85,0.54
"C14H27O5N1S1P1",1.93,0.36
"C20H20O4N2",1,0.2
"C17H24O4N2S1",1.41,0.24
"C25H20O2",0.8,0.08
"C14H27O7N1P1",1.93,0.5
"C15H31O4N1S1P1",2.07,0.27
"C15H31O6N1P1",2.07,0.4
"C20H32O1S2",1.6,0.05
"C15H32O5N2S1",2.13,0.33
"C16H35O3N1S1P1",2.19,0.19
"C16H35O5N1P1",2.19,0.31
"C14H14O3N2S2P1",1,0.21
"C14H11O8N1S1",0.79,0.57
"C21H11O1N3S1",0.52,0.05
"C15H19O5N3S1",1.27,0.33
"C13H23O8N1S1",1.77,0.62
"C16H23O4N3S1",1.44,0.25
"C24H19O2N1",0.79,0.08
"C17H27O3N3S1",1.59,0.18
"C17H27O3N3S1",1.59,0.18
"C25H23O1N1",0.92,0.04
"C18H31O2N3S1",1.72,0.11
"C18H31O2N3S1",1.72,0.11
"C7H2O7N2S4",0.29,1
"C20H5O4N1P1",0.25,0.2
"C12H6O11N2",0.5,0.92
"C14H10O11",0.71,0.79
"C10H13O11N1P1",1.3,1.1
"C15H14O6S2",0.93,0.4
"C10H14O10N2S1",1.4,1
"C15H17O5N1S1P1",1.13,0.33
"C15H14O10",0.93,0.67
"C16H18O5S2",1.12,0.31
"C12H21O7N1S1P1",1.75,0.58
"C11H18O11N2",1.64,1
"C16H21O4N1S1P1",1.31,0.25
"C12H21O9N1P1",1.75,0.75
"C17H22O4S2",1.29,0.24
"C13H25O4N1S2P1",1.92,0.31
"C13H24O7P2",1.85,0.54
"C22H14O3N2",0.64,0.14
"C18H17O3N3P1",0.94,0.17
"C13H25O6N1S1P1",1.92,0.46
"C18H26O1S3",1.44,0.06
"C17H25O3N1S1P1",1.47,0.18
"C13H25O8N1P1",1.92,0.62
"C18H26O3S2",1.44,0.17
"C14H29O3N1S2P1",2.07,0.21
"C17H26O2N2S2",1.53,0.12
"C13H26O7N2S1",2,0.54
"C14H29O5N1S1P1",2.07,0.36
"C15H30O5S2",2,0.33
"C14H29O7N1P1",2.07,0.5
"C19H30O2S2",1.58,0.11
"C15H33O4N1S1P1",2.2,0.27
"C15H33O6N1P1",2.2,0.4
"C20H34O5",1.7,0.25
"C9H8O9S2P1",0.89,1
"C13H12O6N2S1P1",0.92,0.46
"C21H8O4P1",0.38,0.19
"C13H9O11N1",0.69,0.85
"C15H16O4S2P1",1.07,0.27
"C19H5O5N3",0.26,0.26
"C10H16O8N2S1P1",1.6,0.8
"C11H20O7N2S1P1",1.82,0.64
"C21H13O3N3",0.62,0.14
"C15H21O5N3S1",1.4,0.33
"C15H21O5N3S1",1.4,0.33
"C19H20O3N2P1",1.05,0.16
"C17H25O3N1S2",1.47,0.18
"C19H21O4N3",1.11,0.21
"C24H21O2N1",0.88,0.08
"C17H28O4N2P1",1.65,0.24
"C17H29O3N3S1",1.71,0.18
"C14H3O3N3S2P1",0.21,0.21
"C13H11O9N1P1",0.85,0.69
"C14H12O9S1",0.86,0.64
"C22H12O1S2",0.55,0.05
"C14H12O11",0.86,0.79
"C15H16O6S2",1.07,0.4
"C16H20O1S4",1.25,0.06
"C14H15O8N1P1",1.07,0.57
"C10H16O12N2",1.6,1.2
"C15H19O5N1S1P1",1.27,0.33
"C11H19O10N1P1",1.73,0.91
"C16H20O5S2",1.25,0.31
"C12H23O5N1S2P1",1.92,0.42
"C19H16O7",0.84,0.37
"C12H23O7N1S1P1",1.92,0.58
"C12H20O12",1.67,1
"C13H24O7S2",1.85,0.54
"C14H28O2S4",2,0.14
"C14H28O2S4",2,0.14
"C16H23O4N1S1P1",1.44,0.25
"C12H23O9N1P1",1.92,0.75
"C17H24O4S2",1.41,0.24
"C19H20O3N2S1",1.05,0.16
"C19H20O3N2S1",1.05,0.16
"C27H16O1",0.59,0.04
"C13H27O6N1S1P1",2.08,0.46
"C18H28O1S3",1.56,0.06
"C16H24O5N2S1",1.5,0.31
"C17H27O3N1S1P1",1.59,0.18
"C13H27O8N1P1",2.08,0.62
"C18H28O3S2",1.56,0.17
"C14H31O3N1S2P1",2.21,0.21
"C18H28O5S1",1.56,0.28
"C14H31O7N1P1",2.21,0.5
"C19H32O2S2",1.68,0.11
"C19H32O4S1",1.68,0.21
"C20H36O1S2",1.8,0.05
"C20H36O5",1.8,0.25
"C11H3O5N1S4",0.27,0.45
"C10H18O8N2S1P1",1.8,0.8
"C18H14O6P1",0.78,0.33
"C23H7O2N3",0.3,0.09
"C23H7O2N3",0.3,0.09
"C15H22O4N2S1P1",1.47,0.27
"C20H22O4P1",1.1,0.2
"C12H26O8N2P1",2.17,0.67
"C16H27O4N3S1",1.69,0.25
"C13H30O7N2P1",2.31,0.54
"C15H18O2S4",1.2,0.13
"C23H6O1N2S1",0.26,0.04
"C10H14O12S1",1.4,1.2
"C13H13O9N1P1",1,0.69
"C14H17O4N1S2P1",1.21,0.29
"C14H17O6N1S1P1",1.21,0.43
"C10H17O11N1P1",1.7,1.1
"C15H18O6S2",1.2,0.4
"C16H22O1S4",1.38,0.06
"C10H18O10N2S1",1.8,1
"C14H17O8N1P1",1.21,0.57
"C15H21O5N1S1P1",1.4,0.33
"C15H18O10",1.2,0.67
"C11H21O10N1P1",1.91,0.91
"C26H14O2",0.54,0.08
"C15H21O7N1P1",1.4,0.47
"C12H25O7N1S1P1",2.08,0.58
"C25H14O1N2",0.56,0.04
"C12H22O12",1.83,1
"C18H18O6N2",1,0.33
"C18H18O6N2",1,0.33
"C19H22O1N2S2",1.16,0.05
"C23H18O4",0.78,0.17
"C11H22O11N2",2,1
"C16H25O4N1S1P1",1.56,0.25
"C12H25O9N1P1",2.08,0.75
"C17H26O4S2",1.53,0.24
"C13H29O6N1S1P1",2.23,0.46
"C12H26O10N2",2.17,0.83
"C17H29O3N1S1P1",1.71,0.18
"C13H29O8N1P1",2.23,0.62
