"formula","HC","OC"
"C17H20O5",1.18,0.29
"C13H24O4N2S1",1.85,0.31
"C14H24O7",1.71,0.5
"C15H28O6",1.87,0.4
"C16H32O5",2,0.31
"C12H3O5N1S2",0.25,0.42
"C12H3O9N1",0.25,0.75
"C16H6O3N2P1",0.38,0.19
"C9H11O5N3S2",1.22,0.56
"C15H15O4N1S1",1,0.27
"C15H19O4N3",1.27,0.27
"C8H4O9P2",0.5,1.12
"C14H10O8",0.71,0.57
"C11H17O3N1S2P1",1.55,0.27
"C13H10O7N2",0.77,0.54
"C15H14O5S1",0.93,0.33
"C11H14O10",1.27,0.91
"C15H14O7",0.93,0.47
"C12H21O4N1S1P1",1.75,0.33
"C12H18O9",1.5,0.75
"C16H18O6",1.12,0.38
"C12H22O5N2S1",1.83,0.42
"C17H22O3S1",1.29,0.18
"C13H22O8",1.69,0.62
"C17H22O5",1.29,0.29
"C14H26O7",1.86,0.5
"C14H30O3N2S1",2.14,0.21
"C15H17O4N1S1",1.13,0.27
"C11H20O4N2S1P1",1.82,0.36
"C12H21O8N1",1.75,0.67
"C14H29O6N1",2.07,0.43
"C12H4O4S3",0.33,0.33
"C13H8O9",0.62,0.69
"C10H15O4N1S2P1",1.5,0.4
"C14H12O8",0.86,0.57
"C15H16O3S2",1.07,0.2
"C11H19O3N1S2P1",1.73,0.27
"C15H16O5S1",1.07,0.33
"C15H16O7",1.07,0.47
"C10H19O6N3P1",1.9,0.6
"C11H20O6N2S1",1.82,0.55
"C16H20O4S1",1.25,0.25
"C23H16O1",0.7,0.04
"C16H20O6",1.25,0.38
"C13H24O6S1",1.85,0.46
"C12H24O5N2S1",2,0.42
"C17H24O3S1",1.41,0.18
"C17H24O5",1.41,0.29
"C14H28O5S1",2,0.36
"C7H3O3N1S5",0.43,0.43
"C12H10O4N2S1P1",0.83,0.33
"C14H15O5N1S1",1.07,0.36
"C11H19O9N1",1.73,0.82
"C18H19O2N3",1.06,0.11
"C7H5O7N1S2P1",0.71,1
"C12H6O2S4",0.5,0.17
"C13H10O9",0.77,0.69
"C10H17O4N1S2P1",1.7,0.4
"C14H14O8",1,0.57
"C11H21O3N1S2P1",1.91,0.27
"C15H18O5S1",1.2,0.33
"C15H18O7",1.2,0.47
"C12H22O7S1",1.83,0.58
"C16H22O4S1",1.38,0.25
"C12H22O9",1.83,0.75
"C16H22O6",1.38,0.38
"C13H26O6S1",2,0.46
"C17H26O3S1",1.53,0.18
"C17H26O5",1.53,0.29
"C18H30O4",1.67,0.22
"C19H34O1S1",1.79,0.05
"C11H8O7N2P1",0.73,0.64
"C21H13O2N1",0.62,0.1
"C22H17O1N1",0.77,0.05
"C15H25O4N3",1.67,0.27
"C8H8O9S2",1,1.12
"C9H12O4S4",1.33,0.44
"C11H7O6N1S1P1",0.64,0.55
"C8H12O7N2S2",1.5,0.88
"C12H8O10",0.67,0.83
"C19H8O1N2S1",0.42,0.05
"C13H12O9",0.92,0.69
"C10H19O4N1S2P1",1.9,0.4
"C14H16O6S1",1.14,0.43
"C14H16O8",1.14,0.57
"C11H23O3N1S2P1",2.09,0.27
"C20H12O2N2",0.6,0.1
"C15H20O5S1",1.33,0.33
"C12H24O5S2",2,0.42
"C15H20O7",1.33,0.47
"C12H24O7S1",2,0.58
"C16H24O4S1",1.5,0.25
"C16H24O6",1.5,0.38
"C17H28O3S1",1.65,0.18
"C17H28O5",1.65,0.29
